AirlineKey;AirlineId;Code;Description
82;82;4Y;Yute Air Aka Flight Alaska
83;83;5B;Bellair Inc.
84;84;5C;C.A.L Cargo Airlines
85;85;5D;Aerolitoral
86;86;5F;Arctic Circle Air Service
87;87;5G;Skyservice Airlines
88;88;5G (1);Queen Air
89;89;5J;Private Jet Expeditions
90;90;5L;Aerosur
91;91;5V;Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo
92;92;5X;United Parcel Service
93;93;5Y;Atlas Air Inc.
94;94;6A;Aviacsa Airlines
95;95;6B;TUIfly Nordic A.B.
96;96;6C;Cape Smythe Air Service
97;97;6F;Laker Airways Inc.
98;98;6H;Israir Airlines
99;99;6P;Pacific East Air Inc.
100;100;6R;Aerounion Aerotransporte de Carga Union SA de CV
101;101;6U;Air Ukraine
102;102;6Y;Nicaraguense De Aviacion Sa
103;103;7B;Krasair
104;104;7C;Jeju Air Co Ltd.
105;105;7F;First Air
106;106;7G;MK Airlines Ltd.
107;107;7G (1);Bellair Inc. (1)
108;108;7H;Era Aviation
109;109;7I;Insel Air International B V
110;110;7M;Aeromonterrey S.A.
111;111;7N;Inland Aviation Services
112;112;7P;Apa International Air S.A.
113;113;7Q;Pan American World Airways Dominicana
114;114;7S;Arctic Transportation
115;115;7S (1);Skystar International Inc.
116;116;7Z;Lb Limited
117;117;8C;Air Transport International
118;118;8D;Servant Air Inc.
119;119;8E;Bering Air Inc.
120;120;8F;Wilburs Inc.
121;121;8J;Jetall Airways
122;122;8L;Servicio Aereo Leo Lopez
123;123;8N;Flagship Airlines Inc.
124;124;8Q;Baker Aviation Inc.
